time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,seen_robotX,seen_robotY,state
3.073335,0.000000,0.000000,-0.000000,0.000001,0.000000,0.000000,-1
3.275330,-0.008071,0.002508,-0.008070,0.001973,0.000000,0.000000,-1
3.478331,-0.008071,0.002508,-0.008114,0.001609,0.000000,0.000000,-1
3.679455,-0.008071,0.002508,-0.009041,0.001183,0.000000,0.000000,-1
3.880822,-0.008071,0.002508,-0.009067,0.000819,0.000000,0.000000,-1
4.090516,-0.008071,0.002508,-0.008614,0.001534,0.000000,0.000000,-1
4.294009,-0.009570,0.004555,-0.009167,0.004011,0.000000,0.000000,-1
4.496759,-0.009570,0.004555,-0.009220,0.004306,0.000000,0.000000,-1
4.697375,-0.009570,0.004555,-0.009384,0.004162,0.000000,0.000000,-1
4.898738,-0.009570,0.004555,-0.009525,0.003355,0.000000,0.000000,-1
5.099284,-0.009570,0.004555,-0.009694,0.004244,0.000000,0.000000,-1
5.301879,-0.010812,0.004567,-0.011377,0.003942,0.000000,0.000000,-1
5.504593,-0.010812,0.004567,-0.011955,0.003487,0.000000,0.000000,-1
5.705587,-0.010812,0.004567,-0.012593,0.002961,0.000000,0.000000,-1
5.905742,-0.010812,0.004567,-0.012608,0.002955,0.000000,0.000000,-1
6.108090,-0.010593,0.005122,-0.011282,0.004407,0.000000,0.000000,-1
6.308301,-0.010593,0.005122,-0.010493,0.005002,0.000000,0.000000,-1
6.510238,-0.010593,0.005122,-0.010275,0.005157,0.000000,0.000000,-1
6.711815,-0.010593,0.005122,-0.009655,0.005594,0.000000,0.000000,-1
6.913405,-0.010593,0.005122,-0.010490,0.005006,0.000000,0.000000,-1
7.114277,-0.010593,0.005122,-0.011146,0.004520,0.000000,0.000000,-1
7.316590,-0.011357,0.004107,-0.015046,0.001361,0.000000,0.000000,-1
7.516601,-0.011357,0.004107,-0.016408,-0.000211,0.000000,0.000000,-1
7.719053,-0.011357,0.004107,-0.019711,-0.004062,0.000000,0.000000,-1
7.921567,-0.011357,0.004107,-0.022001,-0.007435,0.000000,0.000000,-1
8.122092,0.000010,0.015850,-0.011750,0.003654,0.000000,0.000000,-1
8.324846,0.000010,0.015850,-0.012854,0.001931,0.000000,0.000000,-1
8.528002,0.000010,0.015850,-0.014035,-0.000128,0.000000,0.000000,-1
8.728525,0.000010,0.015850,-0.013094,0.001514,0.000000,0.000000,-1
8.931041,0.000010,0.015850,-0.012517,0.002457,0.000000,0.000000,-1
9.132709,-0.000468,0.015322,-0.010803,0.004004,0.000000,0.000000,-1
9.332835,-0.000468,0.015322,-0.006697,0.009150,0.000000,0.000000,-1
9.533941,-0.000468,0.015322,-0.004959,0.010953,0.000000,0.000000,-1
9.734923,-0.000468,0.015322,-0.003720,0.012904,0.000000,0.000000,-1
9.935976,-0.000468,0.015322,0.002899,0.017500,0.000000,0.000000,-1
10.139339,-0.019808,-0.001382,-0.009979,0.004689,0.000000,0.000000,-1
10.341786,-0.019808,-0.001382,-0.003742,0.006625,0.000000,0.000000,-1
10.545451,-0.019808,-0.001382,-0.003068,0.011871,0.000000,0.000000,-1
10.748534,-0.019808,-0.001382,-0.009357,0.031406,0.000000,0.000000,-1
10.951067,-0.019808,-0.001382,-0.009476,0.032742,0.000000,0.000000,-1
11.155050,-0.020990,-0.028526,-0.011030,0.004533,0.000000,0.000000,-1
11.358770,-0.020990,-0.028526,-0.011626,0.004477,0.000000,0.000000,-1
11.563811,-0.020990,-0.028526,-0.008886,0.004950,0.000000,0.000000,-1
11.769592,-0.020990,-0.028526,-0.007151,0.005380,0.000000,0.000000,-1
11.970120,-0.020990,-0.028526,-0.005971,0.005313,0.000000,0.000000,-1
12.172839,-0.025177,-0.029156,-0.012239,0.004825,0.000000,0.000000,-1
12.373779,-0.025177,-0.029156,-0.011318,0.004981,0.000000,0.000000,-1
12.576430,-0.025177,-0.029156,-0.010428,0.004879,0.000000,0.000000,-1
12.779864,-0.025177,-0.029156,-0.008375,0.005461,0.000000,0.000000,-1
12.983062,-0.025177,-0.029156,-0.006078,0.005749,0.000000,0.000000,-1
13.183866,-0.029319,-0.030480,-0.009534,0.005198,0.000000,0.000000,-1
13.384729,-0.029319,-0.030480,-0.008776,0.005780,0.000000,0.000000,-1
13.584766,-0.029319,-0.030480,-0.007340,0.005878,0.000000,0.000000,-1
13.787156,-0.029319,-0.030480,-0.007403,0.005138,0.000000,0.000000,-1
13.990013,-0.029319,-0.030480,-0.007336,0.005169,0.000000,0.000000,-1
14.194962,-0.030895,-0.031181,-0.010181,0.004745,0.000000,0.000000,-1
14.397072,-0.030895,-0.031181,-0.007773,0.005018,0.000000,0.000000,-1
14.598846,-0.030895,-0.031181,-0.007148,0.003881,0.000000,0.000000,-1
14.799418,-0.030895,-0.031181,-0.007706,0.003606,0.000000,0.000000,-1
15.001500,-0.030895,-0.031181,-0.010514,0.004634,0.000000,0.000000,-1
15.206371,-0.031902,-0.030280,-0.010589,0.004814,0.000000,0.000000,-1
15.410154,-0.031902,-0.030280,-0.011549,0.004524,0.000000,0.000000,-1
15.612048,-0.031902,-0.030280,-0.010747,0.005098,0.000000,0.000000,-1
15.814182,-0.031902,-0.030280,-0.009256,0.007278,0.000000,0.000000,-1
16.017706,-0.031902,-0.030280,-0.009468,0.008458,0.000000,0.000000,-1
16.222679,-0.033746,-0.033961,-0.011080,0.004469,0.000000,0.000000,-1
16.423172,-0.033746,-0.033961,-0.010716,0.004545,0.000000,0.000000,-1
16.626428,-0.033746,-0.033961,-0.010925,0.004805,0.000000,0.000000,-1
16.829838,-0.033746,-0.033961,-0.010776,0.004558,0.000000,0.000000,-1
17.035012,-0.033746,-0.033961,-0.010750,0.004562,0.000000,0.000000,-1
17.236800,-0.033230,-0.033976,-0.010306,0.004635,0.000000,0.000000,-1
17.437314,-0.033230,-0.033976,-0.010217,0.004638,0.000000,0.000000,-1
17.639978,-0.033230,-0.033976,-0.010107,0.004643,0.000000,0.000000,-1
17.844614,-0.033230,-0.033976,-0.010184,0.004634,0.000000,0.000000,-1
18.046136,-0.033230,-0.033976,-0.009802,0.004623,0.000000,0.000000,-1
18.250764,-0.033813,-0.034058,-0.010400,0.004515,0.000000,0.000000,-1
18.451211,-0.033813,-0.034058,-0.010355,0.004520,0.000000,0.000000,-1
18.653624,-0.033813,-0.034058,-0.010367,0.004517,0.000000,0.000000,-1
18.858803,-0.033813,-0.034058,-0.009941,0.004503,0.000000,0.000000,-1
19.060397,-0.033813,-0.034058,-0.010148,0.004510,0.000000,0.000000,-1
19.263251,-0.034040,-0.034151,-0.010470,0.004475,0.000000,0.000000,-1
19.465587,-0.034040,-0.034151,-0.010175,0.004512,0.000000,0.000000,-1
19.665791,-0.034040,-0.034151,-0.010164,0.004407,0.000000,0.000000,-1
19.868508,-0.034040,-0.034151,-0.010109,0.004467,0.000000,0.000000,-1
20.069674,-0.034040,-0.034151,-0.009979,0.004455,0.000000,0.000000,-1
20.271136,-0.034561,-0.033787,-0.010402,0.004722,0.000000,0.000000,-1
20.474642,-0.034561,-0.033787,-0.010210,0.004763,0.000000,0.000000,-1
20.679130,-0.034561,-0.033787,-0.010074,0.004705,0.000000,0.000000,-1
20.883732,-0.034561,-0.033787,-0.010074,0.004711,0.000000,0.000000,-1
21.090111,-0.034561,-0.033787,-0.009840,0.004743,0.000000,0.000000,-1
