time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,seen_robotX,seen_robotY,state
77.370678,3.027704,-0.872874,2.073605,-0.949416,3.024679,-0.749872,-1
77.576230,3.027704,-0.872874,2.120376,-0.967164,3.024679,-0.749872,-1
77.986279,3.027479,-0.904713,2.170975,-0.989762,2.069256,-0.964508,-1
78.190867,2.923755,-0.871752,2.098993,-0.975120,2.069256,-0.964508,-1
78.597992,2.923755,-0.871752,2.147382,-0.993973,2.069256,-0.964508,-1
79.410486,2.919924,-0.870394,2.180934,-1.014246,2.069256,-0.964508,-1
79.821168,2.919924,-0.870394,2.215868,-1.013930,2.069256,-0.964508,-1
80.027439,2.926763,-0.895359,2.262468,-1.018527,2.069256,-0.964508,-1
80.231705,2.926763,-0.895359,2.298618,-1.026239,2.069256,-0.964508,-1
80.635291,2.926763,-0.895359,2.378188,-1.020649,2.069256,-0.964508,-1
81.043769,2.922070,-0.869214,2.427744,-1.007671,2.069256,-0.964508,-1
81.245646,2.922070,-0.869214,2.470633,-1.001306,2.069256,-0.964508,-1
81.651144,2.922070,-0.869214,2.540279,-0.975302,2.069256,-0.964508,-1
82.056878,2.916368,-0.866291,2.584647,-0.951161,2.069256,-0.964508,-1
82.258009,2.916368,-0.866291,2.615282,-0.931703,2.069256,-0.964508,-1
82.664880,2.916368,-0.866291,2.665680,-0.906445,2.069256,-0.964508,-1
83.074432,3.073078,-0.955926,2.723795,-0.962765,2.722923,-0.962416,-1
84.901546,3.069781,-0.949405,2.649934,-0.984646,2.722923,-0.962416,-1
85.103110,3.087752,-0.889227,2.586309,-0.972017,2.722923,-0.962416,-1
85.509555,3.087752,-0.889227,2.814059,-0.878002,2.722923,-0.962416,-1
85.913356,3.087752,-0.889227,2.781660,-0.908376,2.722923,-0.962416,-1
86.314738,3.077367,-0.964065,2.717899,-0.945257,2.722923,-0.962416,-1
89.980704,3.520082,1.128371,2.753948,-0.935683,2.728937,-0.904715,-1
90.789220,3.634065,1.074958,2.809335,-0.841998,2.728937,-0.904715,-1
91.808562,3.560378,1.094444,2.841548,-0.689398,2.728937,-0.904715,-1
93.435801,3.457895,1.013010,2.874411,-0.419884,2.730305,-0.915959,-1
95.066861,3.458062,1.008715,2.908575,-0.153961,2.730305,-0.915959,-1
99.940561,5.046765,1.291150,2.957038,0.585345,2.691926,0.334191,-1
100.549776,5.007548,1.379683,3.018902,0.652850,2.691926,0.334191,-1
100.958644,5.007548,1.379683,3.060220,0.687339,2.691926,0.334191,-1
101.162931,5.034827,1.312454,3.094068,0.714311,2.691926,0.334191,-1
101.570394,5.034827,1.312454,3.161966,0.755285,2.691926,0.334191,-1
101.976617,5.034827,1.312454,3.210270,0.785454,2.691926,0.334191,-1
102.178874,5.031901,1.318075,3.241768,0.806184,2.691926,0.334191,-1
102.581812,5.031901,1.318075,3.304790,0.842621,2.691926,0.334191,-1
102.991906,3.462974,1.534544,3.356435,0.874661,3.089046,0.685649,-1
103.192773,3.189902,1.344032,3.114509,0.702667,3.089046,0.685649,-1
103.600319,3.189902,1.344032,3.156504,0.725612,3.089046,0.685649,-1
105.214906,3.187914,1.344273,3.187725,0.745158,3.089046,0.685649,-1
107.244877,3.214530,1.338577,3.140373,0.887326,3.089046,0.685649,-1
107.652591,3.214530,1.338577,3.085968,0.934893,3.089046,0.685649,-1
108.058317,3.556479,1.637607,3.037569,0.967755,3.205045,0.797232,-1
108.260943,3.727707,1.466101,3.180953,0.812737,3.205045,0.797232,-1
108.665954,3.727707,1.466101,3.139898,0.853238,3.205045,0.797232,-1
109.275166,3.701802,1.482963,3.090951,0.912923,3.205045,0.797232,-1
112.315980,3.699072,1.484469,3.130379,1.383855,3.205045,0.797232,-1
113.133091,3.335596,1.249889,2.961442,1.188478,2.959607,1.190583,-1
113.744709,3.335596,1.249889,2.992061,1.258726,2.959607,1.190583,-1
115.370376,3.346602,1.289728,3.030471,1.323478,2.959607,1.190583,-1
116.793515,3.340516,1.294829,3.060704,1.331183,2.959607,1.190583,-1
117.405771,3.347837,1.287842,3.099826,1.350165,2.959607,1.190583,-1
118.216115,3.321183,1.979729,2.879236,1.786699,2.874138,1.781057,-1
119.444295,3.349157,1.928695,2.910739,1.804521,2.874138,1.781057,-1
120.251908,3.339909,1.957968,2.942433,1.825423,2.874138,1.781057,-1
121.672173,3.342557,1.951813,2.981098,1.857445,2.874138,1.781057,-1
122.488915,3.337196,1.953497,3.017272,1.886414,2.874138,1.781057,-1
123.298179,3.618729,1.552576,3.050638,1.908768,3.003992,1.932922,-1
123.910107,3.618729,1.552576,3.081648,1.890249,3.003992,1.932922,-1
124.522539,3.609380,1.549509,3.112981,1.869089,3.003992,1.932922,-1
125.127078,3.622959,1.563811,3.150511,1.847466,3.003992,1.932922,-1
125.741074,3.622959,1.563811,3.181078,1.830326,3.003992,1.932922,-1
126.549754,3.610951,1.547383,3.221001,1.799181,3.003992,1.932922,-1
127.156396,3.621429,1.562357,3.259702,1.777742,3.003992,1.932922,-1
127.767177,3.621429,1.562357,3.294948,1.767066,3.003992,1.932922,-1
128.172955,3.648380,1.797350,3.336394,1.968132,3.330789,1.970330,-1
128.781372,3.648380,1.797350,3.374869,1.965069,3.330789,1.970330,-1
129.185788,3.645096,1.780886,3.407498,1.955127,3.330789,1.970330,-1
129.796647,3.645096,1.780886,3.449336,1.946958,3.330789,1.970330,-1
130.606845,3.650455,1.783893,3.480190,1.944157,3.330789,1.970330,-1
132.427964,3.654194,1.784115,3.446524,2.014795,3.330789,1.970330,-1
132.634057,3.654194,1.784115,3.366644,2.050769,3.330789,1.970330,-1
133.042389,3.526170,1.568866,3.506811,1.822800,3.330789,1.970330,-1
133.245409,3.584423,1.624597,3.451070,1.844779,3.330789,1.970330,-1
134.660602,3.528993,1.574552,3.481760,1.929652,3.330789,1.970330,-1
137.696883,3.509527,1.568843,3.551647,1.824597,3.330789,1.970330,-1
138.104215,3.528543,1.575193,3.585083,1.860432,3.330789,1.970330,-1
139.110247,3.559037,1.573998,3.550119,1.844845,3.330789,1.970330,-1
