time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,approach_state
42.192053,3.000000,1.000000,-0.000000,0.000001,place
42.396026,3.000000,1.000000,-0.000000,0.000001,place
42.602078,3.000000,1.000000,-0.000000,0.000001,place
42.802655,3.000000,1.000000,-0.000000,0.000001,place
43.009545,3.000000,1.000000,-0.000000,0.000001,place
43.211676,3.000000,1.000000,-0.000000,0.000001,place
43.413907,3.000000,1.000000,-0.000000,0.000001,place
43.615300,3.000000,1.000000,-0.000000,0.000001,place
43.815311,3.000000,1.000000,-0.000000,0.000001,place
44.017877,3.000000,1.000000,-0.000000,0.000001,place
44.224504,3.000000,1.000000,-0.000033,-0.000801,place
44.430249,3.000000,1.000000,-0.000391,-0.022206,place
44.631384,3.000000,1.000000,-0.000000,-0.029999,place
44.836999,3.000000,1.000000,-0.000000,-0.029999,place
45.039694,3.000000,1.000000,-0.000000,-0.029999,place
45.243052,3.000000,1.000000,-0.000000,-0.029999,place
45.446722,3.000000,1.000000,0.009241,-0.029794,place
45.649623,3.000000,1.000000,0.022462,-0.028807,place
45.849735,3.000000,1.000000,0.050522,-0.025131,place
46.050293,3.000000,1.000000,0.074937,-0.018908,place
46.250340,3.000000,1.000000,0.138937,0.002979,place
46.450568,3.000000,1.000000,0.174533,0.017752,place
46.651487,3.000000,1.000000,0.214802,0.035766,place
46.854250,3.000000,1.000000,0.266228,0.058253,place
47.054836,3.000000,1.000000,0.298222,0.070998,place
47.261284,3.000000,1.000000,0.358406,0.093960,place
47.461438,3.000000,1.000000,0.397199,0.108307,place
47.666171,3.000000,1.000000,0.437933,0.123311,place
47.869288,3.000000,1.000000,0.496156,0.144689,place
48.073700,3.000000,1.000000,0.529977,0.157019,place
48.279149,3.000000,1.000000,0.585460,0.177261,place
48.487437,3.000000,1.000000,0.630532,0.193701,place
48.689011,3.000000,1.000000,0.667058,0.207004,place
48.890388,3.000000,1.000000,0.726826,0.228770,place
49.090586,3.000000,1.000000,0.760463,0.241016,place
49.290844,3.000000,1.000000,0.811364,0.259536,place
49.497257,3.000000,1.000000,0.860016,0.277234,place
49.700454,3.000000,1.000000,0.895059,0.289975,place
49.906898,3.000000,1.000000,0.955748,0.312031,place
50.108933,3.000000,1.000000,0.991559,0.325041,place
50.309520,3.000000,1.000000,1.037082,0.341567,place
50.511474,3.000000,1.000000,1.089900,0.360736,place
50.712472,3.000000,1.000000,1.123265,0.372837,place
50.912706,3.000000,1.000000,1.182347,0.394253,place
51.117655,3.000000,1.000000,1.220127,0.407942,place
51.318203,3.000000,1.000000,1.263065,0.423484,place
51.520084,3.000000,1.000000,1.318030,0.443371,place
51.726288,3.000000,1.000000,1.352354,0.455779,place
51.928020,3.000000,1.000000,1.410287,0.476703,place
52.130063,3.000000,1.000000,1.449813,0.490972,place
52.335558,3.000000,1.000000,1.490413,0.505608,place
52.536156,3.000000,1.000000,1.548150,0.526408,place
52.740538,3.000000,1.000000,1.581986,0.538584,place
52.944779,3.000000,1.000000,1.637429,0.558506,place
53.147700,3.000000,1.000000,1.681460,0.574317,place
53.352175,3.000000,1.000000,1.718718,0.587668,place
53.557141,3.000000,1.000000,1.779276,0.609345,place
53.760550,3.000000,1.000000,1.814003,0.621759,place
53.964522,3.000000,1.000000,1.864012,0.639590,place
54.165948,3.000000,1.000000,1.913060,0.657061,place
54.369344,3.000000,1.000000,1.948013,0.669475,place
54.572706,3.000000,1.000000,2.008502,0.690913,place
54.773147,3.000000,1.000000,2.045894,0.703509,place
54.974564,3.000000,1.000000,2.093942,0.722678,place
55.177530,3.000000,1.000000,2.137355,0.738700,place
55.383474,3.000000,1.000000,2.169292,0.752364,place
55.586813,3.000000,1.000000,2.239478,0.781030,place
55.788219,3.000000,1.000000,2.275939,0.791123,place
55.995439,3.000000,1.000000,2.315089,0.803906,place
56.202045,3.000000,1.000000,2.371168,0.819769,place
56.402810,3.000000,1.000000,2.404886,0.830898,place
56.605292,3.000000,1.000000,2.467289,0.849715,place
56.805703,3.000000,1.000000,2.506904,0.864115,place
57.006664,3.000000,1.000000,2.543946,0.876101,place
57.212900,3.000000,1.000000,2.602034,0.896119,place
57.417541,3.000000,1.000000,2.634027,0.905810,place
57.622360,3.000000,1.000000,2.682406,0.920160,place
57.824352,3.000000,1.000000,2.708895,0.923861,shoot
58.028385,3.000000,1.000000,2.725938,0.926553,shoot
58.231002,3.000000,1.000000,2.733559,0.929964,shoot
58.434023,3.000000,1.000000,2.734557,0.930402,shoot
58.640903,3.000000,1.000000,2.734557,0.930402,shoot
58.847001,4.672453,-0.116357,2.737750,0.942955,shoot
59.049546,4.672453,-0.116357,2.739881,0.956443,shoot
59.250177,4.672453,-0.116357,2.740271,0.954754,shoot
59.455804,4.672453,-0.116357,2.748846,0.961028,shoot
59.661536,4.672453,-0.116357,2.757492,1.000258,shoot
59.863355,4.672453,-0.116357,2.835882,0.971444,shoot
60.067325,4.672453,-0.116357,2.867941,0.929719,shoot
60.269046,4.672453,-0.116357,2.831877,0.970295,shoot
60.474467,4.672453,-0.116357,2.767665,0.983310,shoot
60.678826,4.672453,-0.116357,2.739849,0.970777,shoot
60.880714,4.672453,-0.116357,2.719458,0.953737,shoot
61.080802,4.672453,-0.116357,2.712213,0.937510,shoot
61.281918,4.672453,-0.116357,2.733478,0.926068,shoot
61.484121,4.672453,-0.116357,2.735467,0.929468,shoot
61.685223,4.672453,-0.116357,2.734557,0.930402,shoot
61.889445,4.672453,-0.116357,2.734557,0.930402,shoot
62.090643,4.672453,-0.116357,2.734557,0.930402,stopping
62.296731,4.672453,-0.116357,2.734557,0.930402,stopping
62.500153,4.672453,-0.116357,2.734557,0.930402,stopping
62.701114,4.672453,-0.116357,2.734557,0.930402,stopping
62.903606,4.672453,-0.116357,2.734557,0.930402,stopping
63.107457,4.672453,-0.116357,2.734557,0.930402,stopping
63.311793,4.672453,-0.116357,2.734557,0.930402,stopping
