time,pos_ballX,pos_ballY,pos_robotX,pos_robotY,seen_robotX,seen_robotY,state
0.985173,3.000000,1.000000,-0.000000,0.000001,0.000000,0.000000,-1
1.190457,3.000000,1.000000,-0.000000,0.030001,0.000000,0.000000,-1
1.395373,3.000000,1.000000,0.000540,0.030001,0.000000,0.000000,-1
1.596845,3.000000,1.000000,0.004249,0.030106,0.000000,0.000000,-1
1.797169,3.000000,1.000000,0.007370,0.030520,0.000000,0.000000,-1
1.997972,3.000000,1.000000,0.011714,0.032192,0.000000,0.000000,-1
2.203568,3.000000,1.000000,0.053220,0.042174,0.000000,0.000000,-1
2.409104,3.000000,1.000000,0.081159,0.051492,0.000000,0.000000,-1
2.612909,3.000000,1.000000,0.133077,0.069870,0.000000,0.000000,-1
2.817350,3.000000,1.000000,0.172488,0.084803,0.000000,0.000000,-1
3.022515,3.000000,1.000000,0.214654,0.101178,0.000000,0.000000,-1
3.226315,3.000000,1.000000,0.272165,0.123445,0.000000,0.000000,-1
3.432142,3.000000,1.000000,0.304579,0.135891,0.000000,0.000000,-1
3.650048,3.000000,1.000000,0.360122,0.156914,0.000000,0.000000,-1
3.854542,3.000000,1.000000,0.408886,0.175239,0.000000,0.000000,-1
4.059777,3.000000,1.000000,0.444764,0.188581,0.000000,0.000000,-1
4.264080,3.000000,1.000000,0.504957,0.210934,0.000000,0.000000,-1
4.478025,3.000000,1.000000,0.540292,0.224026,0.000000,0.000000,-1
4.689370,3.000000,1.000000,0.586486,0.241144,0.000000,0.000000,-1
4.892110,3.000000,1.000000,0.645080,0.262861,0.000000,0.000000,-1
5.095462,3.000000,1.000000,0.678699,0.275329,0.000000,0.000000,-1
5.301313,3.000000,1.000000,0.735255,0.296314,0.000000,0.000000,-1
5.502879,3.000000,1.000000,0.777477,0.311985,0.000000,0.000000,-1
5.707886,3.000000,1.000000,0.815721,0.326183,0.000000,0.000000,-1
5.909780,3.000000,1.000000,0.874864,0.348142,0.000000,0.000000,-1
6.115264,3.000000,1.000000,0.909411,0.360969,0.000000,0.000000,-1
6.318000,3.000000,1.000000,0.960935,0.380099,0.000000,0.000000,-1
6.519397,3.000000,1.000000,1.007844,0.397515,0.000000,0.000000,-1
6.724817,3.000000,1.000000,1.043717,0.410834,0.000000,0.000000,-1
6.932064,3.000000,1.000000,1.104312,0.433331,0.000000,0.000000,-1
7.134476,3.000000,1.000000,1.140109,0.446621,0.000000,0.000000,-1
7.334884,3.000000,1.000000,1.185958,0.463643,0.000000,0.000000,-1
7.535327,3.000000,1.000000,1.237721,0.482860,0.000000,0.000000,-1
7.738406,3.000000,1.000000,1.271714,0.495480,0.000000,0.000000,-1
7.939816,3.000000,1.000000,1.330926,0.517463,0.000000,0.000000,-1
8.145445,3.000000,1.000000,1.368979,0.531591,0.000000,0.000000,-1
8.351077,3.000000,1.000000,1.411942,0.547541,0.000000,0.000000,-1
8.555377,3.000000,1.000000,1.468688,0.568609,0.000000,0.000000,-1
8.760679,3.000000,1.000000,1.502617,0.581205,0.000000,0.000000,-1
8.966082,3.000000,1.000000,1.559386,0.602281,0.000000,0.000000,-1
9.171562,3.000000,1.000000,1.602647,0.618343,0.000000,0.000000,-1
9.376851,3.000000,1.000000,1.640539,0.632410,0.000000,0.000000,-1
9.578745,3.000000,1.000000,1.699882,0.654442,0.000000,0.000000,-1
9.780156,3.000000,1.000000,1.733356,0.666870,0.000000,0.000000,-1
9.985396,3.000000,1.000000,1.785517,0.686235,0.000000,0.000000,-1
10.189858,3.000000,1.000000,1.833692,0.704120,0.000000,0.000000,-1
10.391413,3.000000,1.000000,1.868219,0.716939,0.000000,0.000000,-1
10.595560,3.000000,1.000000,1.928678,0.739384,0.000000,0.000000,-1
10.796184,3.000000,1.000000,1.963538,0.752327,0.000000,0.000000,-1
11.001940,3.000000,1.000000,2.010769,0.769862,0.000000,0.000000,-1
11.206730,3.000000,1.000000,2.064000,0.789625,0.000000,0.000000,-1
11.411907,3.000000,1.000000,2.098206,0.802324,0.000000,0.000000,-1
11.617154,3.000000,1.000000,2.157372,0.824290,0.000000,0.000000,-1
11.822010,3.000000,1.000000,2.197115,0.839045,0.000000,0.000000,-1
12.025078,3.000000,1.000000,2.237518,0.854045,0.000000,0.000000,-1
12.231476,3.000000,1.000000,2.295972,0.875746,0.000000,0.000000,-1
12.433225,3.000000,1.000000,2.329053,0.888028,0.000000,0.000000,-1
12.634023,3.000000,1.000000,2.384253,0.908522,0.000000,0.000000,-1
12.838288,3.000000,1.000000,2.425125,0.923574,0.000000,0.000000,-1
13.042478,3.000000,1.000000,2.462158,0.934954,0.000000,0.000000,-1
13.244746,3.000000,1.000000,2.531526,0.951771,0.000000,0.000000,-1
13.448899,3.000000,1.000000,2.566420,0.957447,0.000000,0.000000,-1
13.649732,3.000000,1.000000,2.615226,0.960674,0.000000,0.000000,-1
13.853366,3.000000,1.000000,2.667755,0.975914,0.000000,0.000000,-1
14.058329,3.000000,1.000000,2.707534,0.986828,0.000000,0.000000,-1
14.258432,3.000000,1.000000,2.770523,1.012326,0.000000,0.000000,-1
14.459391,3.000000,1.000000,2.793063,1.019616,0.000000,0.000000,-1
14.663341,3.000000,1.000000,2.818794,1.026937,0.000000,0.000000,-1
14.869691,3.000000,1.000000,2.818794,1.026937,0.000000,0.000000,-1
15.070555,3.000000,1.000000,2.818794,1.026937,0.000000,0.000000,-1
15.275232,3.000000,1.000000,2.818794,1.026937,0.000000,0.000000,-1
15.482057,3.000000,1.000000,2.818794,1.026937,0.000000,0.000000,-1
15.686778,3.000000,1.000000,2.818794,1.026937,0.000000,0.000000,-1
15.891552,3.000000,1.000000,2.818702,1.026959,0.000000,0.000000,-1
16.097919,3.000000,1.000000,2.817704,1.027308,0.000000,0.000000,-1
16.303179,3.000000,1.000000,2.816764,1.027820,0.000000,0.000000,-1
16.504469,3.000000,1.000000,2.815904,1.028465,0.000000,0.000000,-1
16.704784,3.000000,1.000000,2.815111,1.029234,0.000000,0.000000,-1
16.905523,3.000000,1.000000,2.813588,1.030158,0.000000,0.000000,-1
17.110687,3.000000,1.000000,2.807450,1.032436,0.000000,0.000000,-1
17.316427,3.000000,1.000000,2.741999,1.045084,0.000000,0.000000,-1
17.521062,3.000000,1.000000,2.680426,1.090501,0.000000,0.000000,-1
17.722687,6.989509,0.919878,2.683758,1.085153,0.000000,0.000000,-1
17.929318,6.989509,0.919878,2.961485,1.059569,0.000000,0.000000,-1
18.132337,6.989509,0.919878,2.927253,1.044101,0.000000,0.000000,-1
18.337200,6.989509,0.919878,2.886403,1.036912,0.000000,0.000000,-1
18.540948,6.989509,0.919878,2.846714,1.038054,0.000000,0.000000,-1
18.742712,6.989509,0.919878,2.814264,1.045531,0.000000,0.000000,-1
18.943094,6.989509,0.919878,2.813091,1.040232,0.000000,0.000000,-1
19.144194,6.989509,0.919878,2.811502,1.035588,0.000000,0.000000,-1
19.350537,6.989509,0.919878,2.809510,1.031554,0.000000,0.000000,-1
19.553307,6.989509,0.919878,2.807266,1.028324,0.000000,0.000000,-1
19.757068,6.989509,0.919878,2.805468,1.026023,0.000000,0.000000,-1
19.959913,6.989509,0.919878,2.808171,1.025529,0.000000,0.000000,-1
20.160115,6.989509,0.919878,2.810892,1.025387,0.000000,0.000000,-1
20.363114,6.989509,0.919878,2.813669,1.025602,0.000000,0.000000,-1
20.564739,6.989509,0.919878,2.816456,1.026179,0.000000,0.000000,-1
20.765709,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
20.966187,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
21.169109,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
21.371793,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
21.572840,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
21.775632,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
21.976481,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
22.182703,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
22.387744,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
22.589454,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
22.792270,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
22.997437,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
23.203299,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
23.404512,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
23.606800,6.989509,0.919878,2.818794,1.026937,0.000000,0.000000,-1
